origin,zone_30,zone_32,zone_35,zone_37,zone_39,zone_46,zone_48,zone_50,zone_54,zone_61,zone_95,zone_98,zone_6,zone_16,zone_19,zone_84,zone_89,zone_101,zone_18,zone_41,zone_44,zone_49,zone_62,zone_77,zone_107,zone_8,zone_26,zone_99,zone_0,zone_3,zone_20,zone_29,zone_55,zone_68,zone_75,zone_94,zone_110,zone_7,zone_12,zone_33,zone_57,zone_74,zone_47,zone_51,zone_103,zone_9,zone_27,zone_36,zone_40,zone_91,zone_108,zone_28,zone_52,zone_60,zone_67,zone_69,zone_82,zone_105,zone_31,zone_65,zone_87,zone_93,zone_102,zone_104,zone_70,zone_88,zone_24,zone_85,zone_86,zone_96,zone_10,zone_17,zone_63,zone_81,zone_22,zone_23,zone_43,zone_92,zone_38,zone_1,zone_4,zone_76,zone_78,zone_79,zone_2,zone_90,zone_21,zone_58,zone_97,zone_56,zone_34,zone_80,zone_83,zone_100,zone_64,zone_5,zone_45,zone_71,zone_11,zone_13,zone_73,zone_15,zone_59,zone_109,zone_53,zone_14,zone_72,zone_66,zone_106,zone_25
zone_45,,,,,609.0,,,,,,,1514.0,,,,,,,,,,,,,,660.0,,1204.0,,,,,918.0,,1367.0,,,,,,,,,,,,,,,,,,398.0,1048.0,,,,,,1438.0,,1933.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,989.0,,,,,1189.0,,,,,,,,,,
zone_67,,,,,,990.0,1020.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,871.0,,,960.0,,,,,,,,,,,1165.0,413.0,,,,,,,,,,,,1816.0,,,,,,,,,,,,,,,,,1038.0,,,,1470.0,,,,,,,,,,,,,,,,,,,745.0,,,,
zone_109,,722.0,686.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1251.0,,,1180.0,,1917.0,,,,,,,,,,,,,,,,,,,,,,,,,1982.0,2161.0,,
zone_99,,,,,,,1784.0,,,,,,,,,,,,1570.0,,,,,,,,,,,,,,,,,,,,,,2178.0,,,,,,,,,,,,,,2390.0,,,421.0,,,,,,,,,,,,,,,,,,,,,,,,1914.0,,,,,,,,,1093.0,,,,,,,,,,,,,,,,,,,
zone_100,,,,,,,,,,,,,,,,,,,,,,,2139.0,1968.0,,,572.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,646.0,,,,,,,,1677.0,,,,,,1024.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1871.0,,,,
zone_17,,,959.0,,,,845.0,,,,,,,,,,,,,,1116.0,,,,,,,,348.0,,,,966.0,,,,,,,,,,,,,,,,,,1445.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1092.0,,,,,,,,1131.0,,,,,,,,,,,,,,,,,,
zone_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,866.0,,,,1050.0,,,,,,,,,,,,,894.0,,,,,,1339.0,,,,,,,,,,,,,,,,,,,1276.0,,,,,1325.0,,
zone_51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1136.0,,,,,,,,,,,,,,,,,,,989.0,,1930.0,,,,,,,1871.0,,,,1801.0,1832.0,,,,1784.0,,,1770.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1091.0,,,,,,,,,,
zone_35,,,,,,,,981.0,,,,,,,,,,,,,,,,1515.0,,,,,,792.0,,,,,,,,,,,,,,,,,,,525.0,,,510.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,877.0,,,,,,,,,,,,,,,,711.0
zone_10,,,,,,,,,,,,,,,,,,,,,,,552.0,,,,,,,,,,,,,,,,,1026.0,,,,,1269.0,,,,,,,,,494.0,,,,,,,,,,,,,,,,1375.0,,,,,,,,,,,,,,1335.0,,,,,,,,,,,,,,,,,,,,,,,,656.0,,
zone_9,,,637.0,,,,,,,,,1126.0,,,,,,,,468.0,,474.0,,,,,,,,,,,,,,,,,,,,,,,,,,697.0,,,,,,,,,,,,,1422.0,,1437.0,,,,,,,,,,,1618.0,,,,,,,,,,,,1413.0,,,,,,1707.0,1288.0,,,,,,,,,1042.0,,,,,,1388.0,,
zone_43,,,,,,,,,,1078.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,753.0,,,,,,,,,,,,,,845.0,,,1564.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1342.0,,,,,,,,,,,,,,,,,,,1153.0,,
zone_14,,,,,,,,,,347.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,573.0,,982.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371.0,,,,,,,,,,,,,778.0,,,,,,,,,,,952.0,,,,,,200.0,,1799.0,,,,,,
zone_66,,,,,,,,,,,,,,,,,,,,,,,,,1845.0,,,,,,,1738.0,,,564.0,,,,,,,,,,1927.0,,,,1491.0,,,,,,,,,,,,,,,,,,,,,,,802.0,,1378.0,,,,,,,,,,,,,,,,843.0,,,,,,,,,,588.0,,,,1800.0,,609.0,,,,
zone_59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,871.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1227.0,,,,,,,,,,,,1948.0,,1179.0,,,,,,,,,431.0,,,,,
zone_1,,,,,,,,,1085.0,,792.0,,,,,,,,,,,,,,,,,1171.0,,,,803.0,,,,,,,,,,,1113.0,,,,,,,,,,,,,,850.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,971.0,,,,,,,963.0,,,,,,,,,,,,,,,,,612.0
zone_26,,,,,,,,,,,,,,,,,,,,,,,,,,,,576.0,,,,,,,,,,,,,,,,,,,,1027.0,,760.0,,,,,,,958.0,,,,,,,,,,,,,,,,,,,,,,1138.0,,634.0,,,1558.0,,,,,,,,,,,,652.0,,,,,,1228.0,,,,,,,,
zone_97,,,,,,,,,,,,,1200.0,,,,,,,,,,,,,,,,,,,,2197.0,,,,,,,,,,,,,,,,,,,902.0,,,,,,,,,,,,,,,,,,,,,,,1018.0,,,1204.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zone_104,,837.0,,,,,,,,,,,,,,1348.0,,,,,,,,,597.0,,,287.0,,,,,,,,,,,,,,,,,,,,,,1399.0,,,,,,,,,,,,,,,1947.0,,1280.0,,1750.0,,,,,,,,,,,,,,,,,,,1657.0,,,870.0,,,,,,,,,,,,,,1823.0,,,,,1041.0
zone_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1539.0,,,,,,,,,,,766.0,,,,,,,,,,,,,695.0,723.0,,,,,,1277.0,,,,,,,,,,,,,,,,,,1394.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
zone_29,,,,,,,,,,,,,,1480.0,,,,,,,,,,,754.0,,,,,,,,,,,,,,,,,,,,,1054.0,,,,,717.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1398.0,,,,,,,,,,,,,,,,,
zone_24,,,,,,,,,,,,,,,,,487.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1353.0,,,,,,,,,,,,,,,,,,,668.0,,,,,,,,,,1115.0,,,,,,,,,,,,,,,,,,,,,,,,,,
zone_23,,,,,,,,,,,,,,,,,,,,,,,,,1512.0,,,,,,,,,,,,,,,1117.0,,,,,,,,,,,,,1396.0,,,,,,,,,,,,,,,,,,,,1320.0,,,,,,,,950.0,,,,,,,,,,,,,,,,,,,,,,,,1461.0,,,,,
zone_22,900.0,,,,,,,,,,496.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1342.0,,,1258.0,,,,,,,,,,,579.0,,,,,,,,,,,,,,,,,,,,,,,,,,1372.0,,,,,880.0,,,,,,,,,,,,,,,,862.0,
zone_92,1233.0,,,,,,,,,,,862.0,1390.0,,,,,,,,,,,,,,,972.0,,,,,,1829.0,,634.0,,,,,,,,,,,,,,,,,,,,,,,,,,,966.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1592.0,,,,,,,,,,,,,,,,,,
zone_88,,,,,,,,,,,420.0,,,,,,,,,,,,,,1286.0,,,732.0,,,,,,1955.0,,,,,,,,,,,,1486.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1334.0,,,,,1302.0,,,,1726.0,,,,,,,,,,,,,1201.0,,,,,,,,,
zone_69,,,,1619.0,,,,,,,,,1212.0,,,1188.0,,,,,1266.0,,,,,,,1507.0,,,,,,,,,,1135.0,,,,,,,1793.0,1367.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,831.0,,,,,,,,,
zone_105,512.0,,,,966.0,,1532.0,,,,,,,,,,,,,,,,,,,1444.0,,,,,,,2118.0,,,,,,,,,,,,,,607.0,863.0,,1356.0,,,,,,,,,708.0,,,,,,,,,,,,,,,1466.0,,,,,,1183.0,,1920.0,,,1336.0,,,,,,,,,,,,,,,,,,1789.0,394.0,,,,,,
zone_76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,605.0,,,,,,,,,,,1416.0,,,,,,,,,,,,,1338.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
