origin,zone_30,zone_32,zone_35,zone_37,zone_39,zone_46,zone_48,zone_50,zone_54,zone_61,zone_95,zone_98,zone_6,zone_16,zone_19,zone_84,zone_89,zone_101,zone_18,zone_41,zone_44,zone_49,zone_62,zone_77,zone_107,zone_8,zone_26,zone_99,zone_0,zone_3,zone_20,zone_29,zone_55,zone_68,zone_75,zone_94,zone_110,zone_7,zone_12,zone_33,zone_57,zone_74,zone_47,zone_51,zone_103,zone_9,zone_27,zone_36,zone_40,zone_91,zone_108,zone_28,zone_52,zone_60,zone_67,zone_69,zone_82,zone_105,zone_31,zone_65,zone_87,zone_93,zone_102,zone_104,zone_70,zone_88,zone_24,zone_85,zone_86,zone_96,zone_10,zone_17,zone_63,zone_81,zone_22,zone_23,zone_43,zone_92,zone_38,zone_1,zone_4,zone_76,zone_78,zone_79,zone_2,zone_90,zone_21,zone_58,zone_97,zone_56,zone_34,zone_80,zone_83,zone_100,zone_64,zone_5,zone_45,zone_71,zone_11,zone_13,zone_73,zone_15,zone_59,zone_109,zone_53,zone_14,zone_72,zone_66,zone_106,zone_25
zone_77,,,1554.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,870.0,,,,1808.0,,,,,,,,,,1614.0,,,,,,1567.0,,,399.0,,,,,,,,,,,1049.0,,,,,,,,1337.0,,,,1882.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zone_61,,,,,,968.0,,,,,,,940.0,,,,,,,,,1199.0,313.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1252.0,,,,,,846.0,1086.0,538.0,900.0,997.0,,,,,,,,,,,,,,,,,,,,,,,,,,
zone_106,,,,,,,1284.0,1217.0,,,,,,,1103.0,,,,,,,,1663.0,,,1069.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,961.0,1062.0,,,,,,,,,,,,,,,,,,,,,,,,
zone_28,,,,,,,,,1379.0,,,,,,,,,,,,,947.0,,,1004.0,,,,,,904.0,,,,,,,,,,,1254.0,,,,,,,,773.0,,,,,,,,,,,,,735.0,,,,,,,,,,,,,,,,,,,,,,,,711.0,1089.0,887.0,,,,,,,,,,,,,,,,,,,,,
zone_80,,,,,,,,,,,,,,,,,,,,,,,,,1931.0,,,,,,,,,,,,,,,,,470.0,,,,,,2067.0,,,,,1747.0,,,,1127.0,,,,,1088.0,,,857.0,,,,,,,,,,,,,,,,,,,,,,,,,1458.0,,,,,,,,,,,,,,,,,,,,
zone_107,,,734.0,,,,,,,,,,,,1565.0,1740.0,,,,,,,,,,1160.0,,,,,,,,,,,,1220.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1252.0,,,,,,,,,,,,,,,1423.0,,,,,,706.0,2430.0,1895.0,1224.0,,,,,,,,,,,,,,,,
zone_27,,,,,,,,,,,,,,,,,,,1190.0,,,,,,,,,,,,,,,1831.0,,,533.0,915.0,,478.0,,,,,,,,,,,,,,,,,,,,,,,,,,,836.0,,,,,,,,,,,,,,,,,,,,,,,,625.0,,,,1479.0,,,,,,,,,,,,,,,
zone_49,,,,,,,,,,,,,,,,,,,,,,,,,,,1283.0,,959.0,,,,,,1602.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1331.0,,,,1820.0,,,,1066.0,1145.0,1929.0,,,,,,,,,,,,1724.0,,,,,,,,,,935.0,570.0,1750.0,,,,,,,,,,,,
zone_96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1955.0,,,,,,,,,,,,,,,,,,1527.0,,,,,,,,,,,736.0,,,,,,,,,,,,,,,,,,,,,1163.0,,,,,,,,,,,,,,,,,,,,,,,,,
zone_95,,,,,,,,,,,,350.0,,1615.0,,,,,,,,,,,,,,,,,,,,,1919.0,,,1176.0,,,,,,,,,420.0,,,,838.0,,,,,1923.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1061.0,,,,,,,,,315.0,,,,,1222.0,,,,,,,,,,,
zone_94,,,,1494.0,1365.0,,,,,,424.0,608.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1305.0,,,,,1603.0,,,,,,,,,,,,,,1106.0,,,,1805.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1630.0,1281.0,,,,,,,,,
zone_7,,,,,,,,,,,,,376.0,,,,,,,,,,932.0,,,267.0,,1353.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1235.0,,,,,,1235.0,1248.0,,,,,,,,,,,,993.0,,,1250.0,,,,,,,,1203.0,,,,,,,,,715.0,,,,,659.0,,,,,,,,,,
zone_31,,,,,,,,,,,894.0,,827.0,,,,,,,647.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022.0,2055.0,,,,,,,,,,,,,,,,,1778.0,,,,931.0,,,,,,,,,,,,,,,,,,,,,,,,,1731.0,1445.0,503.0,,,,,,
zone_21,,,,,1410.0,,,,,,,918.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,568.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zone_15,1346.0,,,,,876.0,,,643.0,,,,,,,,,1563.0,,,,,,,,,,,,,,1400.0,,,,,,,,,,675.0,,,,,,,,,,,1178.0,542.0,,,,,,,,,,,,,,,,,,,,,,,,,,729.0,,,,,,,,,,,,,,,,,1225.0,,,166.0,,,,,555.0,,,,,
zone_102,,1179.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1349.0,,,,,,,,,,,,,,,,,,,,,,,,,,496.0,,708.0,,1470.0,,,,,,,,,,,,,,,,,,,,,,,,1871.0,,,,,,,,,,,,,,1816.0,1681.0,,,
